household_key,BASKET_ID,DAY,PRODUCT_ID,Category,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISCOUNT,COUPON_DISCOUNT
101,90001,2,1045,"BEVERAGES & JUICE",8,366.39,301,58.71,0
102,90002,3,3209,"PERSONAL CARE & BEAUTY",3,90.9,302,22.77,0
103,90003,4,5541,"ATHLETIC & WELLNESS",1,28.78,303,4.01,5
104,90004,5,7720,"SEASONAL APPAREL",5,98.65,304,22.51,5
105,90005,6,8891,"OUTDOOR & CAMPING",1,41.25,300,10.69,5
106,90006,7,9812,"GROCERY & FOOD",8,241.45,301,61.63,0
107,90007,8,1045,"BEVERAGES & JUICE",5,184.64,302,29.12,0
108,90008,9,3209,"PERSONAL CARE & BEAUTY",4,122.58,303,17.46,0
109,90009,10,5541,"ATHLETIC & WELLNESS",3,56.87,304,6.74,0
110,90010,11,7720,"SEASONAL APPAREL",5,65.18,300,7.3,5
111,90011,12,8891,"OUTDOOR & CAMPING",6,142.66,301,27.08,5
112,90012,13,9812,"GROCERY & FOOD",5,64.03,302,16.35,0
113,90013,14,1045,"BEVERAGES & JUICE",1,22.24,303,2.44,0
114,90014,15,3209,"PERSONAL CARE & BEAUTY",6,267.33,304,46.06,5
115,90015,16,5541,"ATHLETIC & WELLNESS",4,62.48,300,9.9,0
116,90016,17,7720,"SEASONAL APPAREL",7,227.05,301,66.28,5
117,90017,18,8891,"OUTDOOR & CAMPING",6,138.27,302,30.46,0
118,90018,19,9812,"GROCERY & FOOD",8,321.65,303,69.4,5
119,90019,20,1045,"BEVERAGES & JUICE",1,26.17,304,3.28,5
120,90020,21,3209,"PERSONAL CARE & BEAUTY",4,157.42,300,24.26,0
121,90021,22,5541,"ATHLETIC & WELLNESS",5,121.11,301,25.41,0
122,90022,23,7720,"SEASONAL APPAREL",2,89.34,302,17.88,0
123,90023,24,8891,"OUTDOOR & CAMPING",7,284.81,303,83.24,0
124,90024,25,9812,"GROCERY & FOOD",1,31.28,304,5.58,5
125,90025,26,1045,"BEVERAGES & JUICE",4,144.24,300,15.73,5
126,90026,27,3209,"PERSONAL CARE & BEAUTY",6,206.6,301,27.61,5
