household_key,BASKET_ID,DAY,PRODUCT_ID,Category,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISCOUNT,COUPON_DISCOUNT
101,90001,2,1045,"BEVERAGES & JUICE",2,37.0,301,5.55,0.0
102,90002,3,3209,"PERSONAL CARE & BEAUTY",3,55.5,302,8.32,0.0
103,90003,4,5541,"ATHLETIC & WELLNESS",4,74.0,303,11.1,0.0
104,90004,5,7720,"SEASONAL APPAREL",5,92.5,304,13.88,5.0
105,90005,6,8891,"OUTDOOR & CAMPING",6,111.0,300,16.65,0.0
106,90006,7,9812,"GROCERY & FOOD",1,18.5,301,2.77,0.0
107,90007,8,1045,"BEVERAGES & JUICE",2,37.0,302,5.55,0.0
108,90008,9,3209,"PERSONAL CARE & BEAUTY",3,55.5,303,8.32,5.0
109,90009,10,5541,"ATHLETIC & WELLNESS",4,74.0,304,11.1,0.0
110,90010,11,7720,"SEASONAL APPAREL",5,92.5,300,13.88,0.0
111,90011,12,8891,"OUTDOOR & CAMPING",6,111.0,301,16.65,0.0
112,90012,13,9812,"GROCERY & FOOD",1,18.5,302,2.77,5.0
113,90013,14,1045,"BEVERAGES & JUICE",2,37.0,303,5.55,0.0
114,90014,15,3209,"PERSONAL CARE & BEAUTY",3,55.5,304,8.32,0.0
115,90015,16,5541,"ATHLETIC & WELLNESS",4,74.0,300,11.1,0.0
116,90016,17,7720,"SEASONAL APPAREL",5,92.5,301,13.88,5.0
117,90017,18,8891,"OUTDOOR & CAMPING",6,111.0,302,16.65,0.0
118,90018,19,9812,"GROCERY & FOOD",1,18.5,303,2.77,0.0
119,90019,20,1045,"BEVERAGES & JUICE",2,37.0,304,5.55,0.0
120,90020,21,3209,"PERSONAL CARE & BEAUTY",3,55.5,300,8.32,5.0
121,90021,22,5541,"ATHLETIC & WELLNESS",4,74.0,301,11.1,0.0
122,90022,23,7720,"SEASONAL APPAREL",5,92.5,302,13.88,0.0
123,90023,24,8891,"OUTDOOR & CAMPING",6,111.0,303,16.65,0.0
124,90024,25,9812,"GROCERY & FOOD",1,18.5,304,2.77,5.0
125,90025,26,1045,"BEVERAGES & JUICE",2,37.0,300,5.55,0.0
126,90026,27,3209,"PERSONAL CARE & BEAUTY",3,55.5,301,8.32,0.0
127,90027,28,5541,"ATHLETIC & WELLNESS",4,74.0,302,11.1,0.0
128,90028,29,7720,"SEASONAL APPAREL",5,92.5,303,13.88,5.0
129,90029,30,8891,"OUTDOOR & CAMPING",6,111.0,304,16.65,0.0
130,90030,1,9812,"GROCERY & FOOD",1,18.5,300,2.77,0.0
131,90031,2,1045,"BEVERAGES & JUICE",2,37.0,301,5.55,0.0
132,90032,3,3209,"PERSONAL CARE & BEAUTY",3,55.5,302,8.32,5.0
