Stage1_Customer_ID,Stage1_Customer_Segment,Stage1_Region,Stage1_Avg_Order_Value,Stage2_Total_Orders,Stage2_Last_Purchase_Days_Ago,Stage2_Preferred_Category,Stage2_Past_Spend_Total,Stage3_Product_ID,Stage3_Product_Name,Stage3_Product_Category,Stage3_Category_Affinity_Score,Stage4_Discount_Sensitivity,Stage4_Estimated_Redemption_Rate,Stage4_Proposed_Discount_Pct,Stage5_Regional_Demand_Index,Stage5_Projected_Promo_Demand_Units,Stage6_Store_Stock_Qty,Stage6_Days_Of_Supply,Stage6_Stockout_Risk_Flag,Stage7_Base_Price,Stage7_Post_Discount_Price,Stage7_Margin_Pct_After_Discount,Stage7_Projected_Margin_Dollars,Stage7_Margin_Risk_Flag,Stage8_Promotion_Fit_Score,Stage8_Risk_Level,Stage8_Risk_Badge,Stage8_AI_Why_Rationale
CUST_PL_1001,"Bargain Hunters","South Region",69,6,6,"Home Goods",414,"prod_running_shoes_apex","Apex Trail Running Shoes","Footwear",35%,92%,31.6%,15%,1.45,379,450,42,FALSE,150,127.5,38.8%,18761,FALSE,62,"TIGHT_STOCK","🟡 Tight Stock","🟢 Zero Operational Risk: Supply Chain & Margin Confirmed: Confirmed robust inventory position (450 units, 42 days of supply) to comfortably support the 379-unit demand surge. Post-discount margin of 38.8% comfortably exceeds our company 15% floor. Proceed with campaign launch and automated cross-channel promotion."
CUST_PL_1002,"High-Value VIP Loyalists","East Region",242,8,42,"Beauty & Care",1936,"prod_hiking_boots","All-Terrain Waterproof Hiking Boots","Footwear",35%,25%,21.8%,20%,1.45,98,450,42,FALSE,185,148,40%,5802,FALSE,62,"HEALTHY","🟢 Healthy Stock","Recommended for High-Value VIP Loyalists in East Region: Driven by high category affinity (+25%) for Footwear, a regional demand index of 1.45x in East Region, and historical redemption conversion (+37%). Projected to generate +₹14,504 in incremental revenue while preserving ₹5,802 in margin dollars (40.0% post-discount margin)."
CUST_PL_1003,"Tech & Trendsetters","West Region",198,9,21,"Home Goods",1782,"prod_casual_sneakers","Classic Organic Canvas Sneakers","Footwear",35%,38%,26.3%,25%,1.45,204,35,6,TRUE,85,63.75,26.7%,3468,FALSE,45,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (204 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1004,"Seasonal Home Organizers","Central Region",114,11,18,"Beauty & Care",1254,"prod_winter_parka","UltraWarm Waterproof Winter Parka","Apparel",35%,65%,33.4%,30%,1.45,401,450,42,FALSE,280,196,35.7%,28070,FALSE,62,"TIGHT_STOCK","🟡 Tight Stock","🟢 Zero Operational Risk: Supply Chain & Margin Confirmed: Confirmed robust inventory position (450 units, 42 days of supply) to comfortably support the 401-unit demand surge. Post-discount margin of 35.7% comfortably exceeds our company 15% floor. Proceed with campaign launch and automated cross-channel promotion."
CUST_PL_1005,"Urban Fitness Enthusiasts","North Region",140,12,28,"Apparel",1680,"prod_leather_jacket","Premium Italian Napa Leather Jacket","Apparel",92%,45%,33.6%,15%,1.45,378,450,42,FALSE,340,289,52.9%,57834,FALSE,77,"TIGHT_STOCK","🟡 Tight Stock","🟢 Zero Operational Risk: Supply Chain & Margin Confirmed: Confirmed robust inventory position (450 units, 42 days of supply) to comfortably support the 378-unit demand surge. Post-discount margin of 52.9% comfortably exceeds our company 15% floor. Proceed with campaign launch and automated cross-channel promotion."
CUST_PL_1006,"Bargain Hunters","South Region",74,14,6,"Apparel",1036,"prod_yoga_activewear_set","Luxe Breathable Yoga Activewear Set","Apparel",92%,92%,46.6%,25%,1.45,559,35,6,TRUE,95,71.25,44%,17525,FALSE,71,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (559 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1007,"High-Value VIP Loyalists","East Region",247,15,42,"Apparel",3705,"prod_office_chair","Ergonomic Mesh Executive Chair","Home Goods",35%,25%,19.5%,15%,1.45,88,450,42,FALSE,210,178.5,31.8%,4990,FALSE,59,"HEALTHY","🟢 Healthy Stock","Recommended for High-Value VIP Loyalists in East Region: Driven by high category affinity (+25%) for Home Goods, a regional demand index of 1.45x in East Region, and historical redemption conversion (+31%). Projected to generate +₹15,708 in incremental revenue while preserving ₹4,990 in margin dollars (31.8% post-discount margin)."
CUST_PL_1008,"Tech & Trendsetters","West Region",203,17,21,"Electronics",3451,"prod_espresso_maker","Compact Artisan Espresso Machine","Home Goods",92%,38%,39.1%,30%,1.45,303,450,42,FALSE,260,182,25.7%,14180,FALSE,75,"HEALTHY","🟢 Healthy Stock","Recommended for Tech & Trendsetters in West Region: Driven by high category affinity (+95%) for Home Goods, a regional demand index of 1.45x in West Region, and historical redemption conversion (+55%). Projected to generate +₹55,146 in incremental revenue while preserving ₹14,180 in margin dollars (25.7% post-discount margin)."
CUST_PL_1009,"Seasonal Home Organizers","Central Region",119,18,18,"Home Goods",2142,"prod_dutch_oven","Enameled Cast Iron Dutch Oven Set","Home Goods",92%,65%,41.7%,25%,1.45,500,35,6,TRUE,140,105,33.3%,17500,FALSE,66,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (500 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1010,"Urban Fitness Enthusiasts","North Region",145,20,28,"Electronics",2900,"prod_robot_vacuum","Smart Navigation Robot Vacuum Cleaner","Home Goods",35%,45%,25.4%,20%,1.45,286,450,42,FALSE,310,248,35%,24825,FALSE,63,"HEALTHY","🟢 Healthy Stock","Recommended for Urban Fitness Enthusiasts in North Region: Driven by high category affinity (+25%) for Home Goods, a regional demand index of 1.45x in North Region, and historical redemption conversion (+47%). Projected to generate +₹70,928 in incremental revenue while preserving ₹24,825 in margin dollars (35.0% post-discount margin)."
