Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Region
1,2,2026-08-01,7469,1058,1,0,0,0,b,Extra,470,South Region
1,3,2026-08-02,9145,1149,1,0,0,0,b,Extra,470,South Region
1,4,2026-08-03,3802,510,1,1,0,0,b,Extra,470,South Region
1,5,2026-08-04,4927,868,1,0,0,0,b,Extra,470,South Region
1,6,2026-08-05,5638,704,1,0,0,0,b,Extra,470,South Region
1,7,2026-08-06,5424,857,1,1,0,0,b,Extra,470,South Region
1,1,2026-08-07,5937,765,1,0,0,0,b,Extra,470,South Region
1,2,2026-08-08,9429,1088,1,0,0,0,b,Extra,470,South Region
1,3,2026-08-09,4619,730,1,1,0,0,b,Extra,470,South Region
1,4,2026-08-10,6671,737,1,0,0,0,b,Extra,470,South Region
2,2,2026-08-01,4333,690,1,1,0,0,c,Extended,590,East Region
2,3,2026-08-02,10484,1182,1,1,0,0,c,Extended,590,East Region
2,4,2026-08-03,3605,507,1,1,0,0,c,Extended,590,East Region
2,5,2026-08-04,5623,750,1,1,0,0,c,Extended,590,East Region
2,6,2026-08-05,5322,664,1,1,0,0,c,Extended,590,East Region
2,7,2026-08-06,6657,1115,1,1,0,0,c,Extended,590,East Region
2,1,2026-08-07,4234,473,1,1,0,0,c,Extended,590,East Region
2,2,2026-08-08,3328,601,1,1,0,0,c,Extended,590,East Region
2,3,2026-08-09,6549,1066,1,1,0,0,c,Extended,590,East Region
2,4,2026-08-10,5045,861,1,1,0,0,c,Extended,590,East Region
3,2,2026-08-01,7630,1149,1,0,0,0,d,Basic,710,West Region
3,3,2026-08-02,7267,1022,1,0,0,0,d,Basic,710,West Region
3,4,2026-08-03,8604,1016,1,1,0,0,d,Basic,710,West Region
3,5,2026-08-04,7862,844,1,0,0,0,d,Basic,710,West Region
3,6,2026-08-05,5665,837,1,0,0,0,d,Basic,710,West Region
3,7,2026-08-06,4292,494,1,1,0,0,d,Basic,710,West Region
3,1,2026-08-07,4692,780,1,0,0,0,d,Basic,710,West Region
3,2,2026-08-08,7059,797,1,0,0,0,d,Basic,710,West Region
3,3,2026-08-09,9111,1052,1,1,0,0,d,Basic,710,West Region
3,4,2026-08-10,6617,1033,1,0,0,0,d,Basic,710,West Region
4,2,2026-08-01,3508,475,1,1,0,0,a,Extra,830,Central Region
4,3,2026-08-02,5599,609,1,1,0,0,a,Extra,830,Central Region
4,4,2026-08-03,7432,1182,1,1,0,0,a,Extra,830,Central Region
4,5,2026-08-04,4083,593,1,1,0,0,a,Extra,830,Central Region
4,6,2026-08-05,6540,888,1,1,0,0,a,Extra,830,Central Region
4,7,2026-08-06,6977,882,1,1,0,0,a,Extra,830,Central Region
4,1,2026-08-07,6895,974,1,1,0,0,a,Extra,830,Central Region
4,2,2026-08-08,7800,847,1,1,0,0,a,Extra,830,Central Region
4,3,2026-08-09,4209,580,1,1,0,0,a,Extra,830,Central Region
4,4,2026-08-10,6537,787,1,1,0,0,a,Extra,830,Central Region
5,2,2026-08-01,7697,945,1,0,0,0,b,Extended,950,North Region
5,3,2026-08-02,6703,868,1,0,0,0,b,Extended,950,North Region
5,4,2026-08-03,9786,1079,1,1,0,0,b,Extended,950,North Region
5,5,2026-08-04,3952,490,1,0,0,0,b,Extended,950,North Region
5,6,2026-08-05,10528,1193,1,0,0,0,b,Extended,950,North Region
5,7,2026-08-06,3125,550,1,1,0,0,b,Extended,950,North Region
5,1,2026-08-07,5569,922,1,0,0,0,b,Extended,950,North Region
5,2,2026-08-08,9610,1144,1,0,0,0,b,Extended,950,North Region
5,3,2026-08-09,6165,1097,1,1,0,0,b,Extended,950,North Region
5,4,2026-08-10,6898,850,1,0,0,0,b,Extended,950,North Region
6,2,2026-08-01,6832,737,1,1,0,0,c,Basic,1070,South Region
6,3,2026-08-02,7078,1086,1,1,0,0,c,Basic,1070,South Region
6,4,2026-08-03,5569,738,1,1,0,0,c,Basic,1070,South Region
6,5,2026-08-04,3857,464,1,1,0,0,c,Basic,1070,South Region
6,6,2026-08-05,5960,783,1,1,0,0,c,Basic,1070,South Region
6,7,2026-08-06,4403,794,1,1,0,0,c,Basic,1070,South Region
6,1,2026-08-07,3397,584,1,1,0,0,c,Basic,1070,South Region
6,2,2026-08-08,4525,579,1,1,0,0,c,Basic,1070,South Region
6,3,2026-08-09,8891,961,1,1,0,0,c,Basic,1070,South Region
6,4,2026-08-10,2522,412,1,1,0,0,c,Basic,1070,South Region
7,2,2026-08-01,8189,969,1,0,0,0,d,Extra,1190,East Region
7,3,2026-08-02,6785,744,1,0,0,0,d,Extra,1190,East Region
7,4,2026-08-03,5847,981,1,1,0,0,d,Extra,1190,East Region
