InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,DiscountPct
5361001,71053,"WHITE METAL LANTERN",18,2026-08-22 08:26,3.39,12021,Netherlands,10
5361002,84406B,"CREAM CUPID HEARTS COAT HANGER",31,2026-08-23 08:26,2.75,12022,United Kingdom,15
5361003,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",19,2026-08-24 08:26,3.39,12023,Germany,10
5361004,22752,"SET 7 BABUSHKA NESTING BOXES",12,2026-08-25 08:26,7.65,12024,France,20
5361005,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,2026-08-26 08:26,4.25,12025,EIRE,15
5361006,22633,"HAND WARMER UNION JACK",45,2026-08-27 08:26,1.85,12026,Spain,10
5361007,22632,"HAND WARMER RED RETROSPOT",30,2026-08-28 08:26,1.85,12027,Netherlands,10
5361008,85099B,"JUMBO BAG RED RETROSPOT",17,2026-08-1 08:26,1.95,12028,United Kingdom,20
5361009,22386,"JUMBO BAG PINK POLKADOT",34,2026-08-2 08:26,1.95,12029,Germany,10
5361010,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",28,2026-08-3 08:26,2.55,12030,France,10
5361011,71053,"WHITE METAL LANTERN",40,2026-08-4 08:26,3.39,12031,EIRE,15
5361012,84406B,"CREAM CUPID HEARTS COAT HANGER",48,2026-08-5 08:26,2.75,12032,Spain,20
5361013,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",34,2026-08-6 08:26,3.39,12033,Netherlands,10
5361014,22752,"SET 7 BABUSHKA NESTING BOXES",42,2026-08-7 08:26,7.65,12034,United Kingdom,15
5361015,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",39,2026-08-8 08:26,4.25,12000,Germany,10
5361016,22633,"HAND WARMER UNION JACK",31,2026-08-9 08:26,1.85,12001,France,20
5361017,22632,"HAND WARMER RED RETROSPOT",7,2026-08-10 08:26,1.85,12002,EIRE,15
5361018,85099B,"JUMBO BAG RED RETROSPOT",47,2026-08-11 08:26,1.95,12003,Spain,10
5361019,22386,"JUMBO BAG PINK POLKADOT",25,2026-08-12 08:26,1.95,12004,Netherlands,10
